Sample,Community,Group,Treatment,Time,Replicate,NMR_file,pH,,,,,,,,
NS4.2FL.60.2,Child_4,Nonconverter,2FL,60,2,SR_20201217_ex2_p1.cnx,,,,,,,,,
NS4.2FL.60.3,Child_4,Nonconverter,2FL,60,3,SR_20201217_ex3_p1.cnx,,,,,,,,,
NS4.Con.0.1,Child_4,Nonconverter,No Treatment,0,1,SR_20201215_ex10_p1.cnx,,,,,,,,,
NS4.Con.0.2,Child_4,Nonconverter,No Treatment,0,2,SR_20201215_ex11_p1.cnx,,,,,,,,,
NS4.Con.0.3,Child_4,Nonconverter,No Treatment,0,3,SR_20201215_ex12_p1.cnx,,,,,,,,,
NS4.Con.12.1,Child_4,Nonconverter,No Treatment,12,1,SR_20201215_ex19_p1.cnx,,,,,,,,,
NS4.Con.12.2,Child_4,Nonconverter,No Treatment,12,2,SR_20201215_ex20_p1.cnx,,,,,,,,,
NS4.Con.12.3,Child_4,Nonconverter,No Treatment,12,3,SR_20201215_ex21_p1.cnx,,,,,,,,,
NS4.Con.24.1,Child_4,Nonconverter,No Treatment,24,1,SR_20201216_ex4_p1.cnx,,,,,,,,,
NS4.Con.24.2,Child_4,Nonconverter,No Treatment,24,2,SR_20201216_ex5_p1.cnx,,,,,,,,,
NS4.Con.24.3,Child_4,Nonconverter,No Treatment,24,3,SR_20201216_ex6_p1.cnx,,,,,,,,,
NS4.Con.36.1,Child_4,Nonconverter,No Treatment,36,1,SR_20201216_ex13_p1.cnx,,,,,,,,,
NS4.Con.36.2,Child_4,Nonconverter,No Treatment,36,2,SR_20201216_ex14_p1.cnx,,,,,,,,,
NS4.Con.36.3,Child_4,Nonconverter,No Treatment,36,3,SR_20201216_ex15_p1.cnx,,,,,,,,,
NS4.Con.48.1,Child_4,Nonconverter,No Treatment,48,1,SR_20201216_ex22_p1.cnx,,,,,,,,,
NS4.Con.48.2,Child_4,Nonconverter,No Treatment,48,2,SR_20201216_ex23_p1.cnx,,,,,,,,,
NS4.Con.48.3,Child_4,Nonconverter,No Treatment,48,3,SR_20201216_ex24_p1.cnx,,,,,,,,,
NS4.Con.60.1,Child_4,Nonconverter,No Treatment,60,1,SR_20201217_ex4_p1.cnx,,,,,,,,,
NS4.Con.60.2,Child_4,Nonconverter,No Treatment,60,2,SR_20201217_ex5_p1.cnx,,,,,,,,,
NS4.Con.60.3,Child_4,Nonconverter,No Treatment,60,3,SR_20201217_ex6_p1.cnx,,,,,,,,,
NS4.pHMO.0.1,Child_4,Nonconverter,pHMOs,0,1,SR_20201215_ex13_p1.cnx,,,,,,,,,
NS4.pHMO.0.2,Child_4,Nonconverter,pHMOs,0,2,SR_20201215_ex14_p1.cnx,,,,,,,,,
NS4.pHMO.0.3,Child_4,Nonconverter,pHMOs,0,3,SR_20201215_ex15_p1.cnx,,,,,,,,,
NS4.pHMO.12.1,Child_4,Nonconverter,pHMOs,12,1,SR_20201215_ex22_p1.cnx,,,,,,,,,
NS4.pHMO.12.2,Child_4,Nonconverter,pHMOs,12,2,SR_20201215_ex23_p1.cnx,,,,,,,,,
