Sample,Community,Treatment,Time,2'FL,3FL,3'SL,DFLac,6'SL,LNT,LNnT,LNFP I,LNFP II,LNFP III,LSTb,LSTc,DFLNT,LNH,DSLNT,FLNH,DFLNH,FDSLNH,DSLNH,SUM,Sia,Fuc
S2.pHMOs.3h,Child_2,pHMOs,3,1.878087343,97.30832438,74.05523386,9.317231112,7.404396622,393.2653882,38.25860415,45.74416829,99.54756621,50.34562713,21.94918106,6.499310417,139.1528309,24.38936225,11.07336138,34.15800156,8.462911415,3.399498852,5.057579243,1071.266664,148.9690009,646.2472207
S2.pHMOs.6h,Child_2,pHMOs,6,2.510596845,80.54640825,60.77435752,9.180127489,7.63718418,258.6913489,30.83421938,23.11651512,46.14173288,32.87433289,7.355889659,1.919755171,101.4364212,7.268997874,6.578489477,17.44839966,2.745160864,8.114113064,2.919346145,708.0933966,112.9110839,437.4755179
S2.pHMOs.12h,Child_2,pHMOs,12,2.793296947,34.36820824,17.99403005,8.885124326,5.435081028,112.7239677,10.39352008,10.37426986,20.49186965,9.525235622,3.779482321,0.659206318,48.92586204,5.287785821,3.436191601,5.257613002,1.405593186,1.508401804,1.122031152,304.3667708,40.00104883,202.7520542
S2.pHMOs.24h,Child_2,pHMOs,24,2.661389944,17.3883039,6.948660043,10.84902559,4.951960074,35.66877543,5.32604167,5.286666768,9.00252208,4.844900169,1.186732351,0.221651227,11.9803627,7.329698351,2.191001541,1.141934798,1.064002983,0.567094648,1.032145506,129.6428698,20.88948709,88.67959487
S2.pHMOs.36h,Child_2,pHMOs,36,2.579975834,15.01976886,5.43688863,10.08974015,4.821075112,5.071852494,3.106256975,2.285303536,2.392752747,1.831871461,0.998393133,0.448696012,3.148748754,7.095851812,1.143711921,0.545563365,0.719152142,0.336902878,0.274434329,67.34694014,15.21515114,52.90742076
S3.pHMOs.0h,Child_3,pHMOs,0,190.4172446,41.55815568,41.47467907,4.024658974,4.036142549,219.9048788,29.4890611,108.4112994,152.5967327,4.250974349,8.518441264,18.92802206,95.98795635,6.712834985,25.65715217,44.18727994,22.47960804,29.72980322,17.47357343,1065.838499,218.6783426,816.1359366
S3.pHMOs.3h,Child_3,pHMOs,3,1.463880813,48.41044232,36.029244,2.895271348,5.979343406,33.21383738,3.520476185,82.36280605,99.90090699,20.05380717,17.68030521,22.34698386,93.84497902,11.52853661,4.582984501,5.232182259,4.635392439,0.226778312,13.09700909,507.0051669,117.8494203,460.4020895
S3.pHMOs.6h,Child_3,pHMOs,6,2.301181087,48.19290355,26.26445779,5.475535302,5.731229292,29.55425993,9.07952758,75.33643364,61.55776011,14.20571007,8.551874725,29.01307899,91.97740814,11.2965517,10.89684295,3.788500241,2.545283691,0.31292897,10.60129375,446.6827615,113.1827721,405.6918719
S3.pHMOs.12h,Child_3,pHMOs,12,1.716539878,31.17019151,10.08461107,2.3426616,3.677816514,23.16442903,7.49809177,54.80282304,20.33672011,11.73427662,1.744106546,35.51375922,77.1852853,9.397533211,6.152006888,0.519772006,0.788802474,0.503490749,4.705168192,303.0380857,73.74162501,281.4173127
S3.pHMOs.24h,Child_3,pHMOs,24,2.374144312,16.90025812,4.942724015,4.168929796,4.841744854,17.97828251,11.06340194,40.79797938,6.320566239,3.7473299,2.941485981,30.33401241,58.50544343,1.455687089,2.045615836,0.698322928,2.319610918,0.947934382,1.639116823,214.0225909,52.32530135,201.7745036
S3.pHMOs.36h,Child_3,pHMOs,36,4.558252826,15.60390685,5.174971353,6.239444563,5.688873621,14.90426463,4.648253644,49.90678229,2.420660036,1.5083195,4.259848338,30.28536144,60.93969703,1.606175613,2.343781375,1.052755531,2.228411335,1.049020708,1.639539894,216.0583206,55.4737387,214.9148036
NS4.pHMOs.0h,Child_4,pHMOs,0,179.7280984,40.99238799,46.00930412,12.92589815,6.394904703,236.3534032,34.56433594,114.1993134,157.2889931,3.780051794,11.59453232,21.38906394,100.9988729,13.83004201,27.85709512,47.19194769,23.34601028,34.05006724,19.72109816,1132.21542,248.6443261,851.7724222
NS4.pHMOs.3h,Child_4,pHMOs,3,3.396533349,49.56523653,37.08434675,12.73756225,9.179600028,322.0410184,7.558806276,22.55317789,18.91935767,32.63792546,12.85720528,1.009307724,76.46705139,3.657095425,3.22052816,12.65075431,1.643296159,5.312864271,0.741432718,633.2331001,78.68011008,326.7316691
NS4.pHMOs.6h,Child_4,pHMOs,6,4.215698562,41.23442079,16.38973547,17.68022522,8.670489205,288.0694644,12.0490784,19.68477974,10.93881467,34.96405899,5.737321835,1.87582499,71.06960245,6.728885816,3.341477289,9.509496721,2.261883031,4.674833702,1.22261021,560.3187015,51.15121391,307.2455246
NS4.pHMOs.12h,Child_4,pHMOs,12,3.35644054,23.98185069,3.660551589,15.16497287,5.448410033,148.0572021,4.632362706,10.97780893,5.806114087,4.036512092,1.330755539,0.503634883,43.48818821,5.13038475,1.416702615,3.000013409,1.193835052,0.477781494,0.484484134,282.1480057,15.70128853,171.3305135
NS4.pHMOs.24h,Child_4,pHMOs,24,4.457080188,15.2508362,3.842058809,17.74471312,5.707635557,4.453924858,2.856968787,4.842693631,1.764077768,1.046537063,1.03594819,0.3618952,18.9126569,2.088241611,0.917906745,0.848871418,0.854578783,0.182649731,0.397634837,87.56690941,13.94392038,103.4166436
NS4.pHMOs.36h,Child_4,pHMOs,36,4.28923618,14.44184869,3.445271952,18.52921712,5.90554783,3.24971735,3.421160611,3.846522296,1.566723226,0.670259863,1.878099742,0.858293157,5.565981586,1.700334834,0.657842896,0.350932127,0.582790333,0.159495748,0.238420557,71.3576961,14.19873108,74.68099621
