NMR_file,2-Piperidinone,3-Phenylpropionate,4-Hydroxyphenylacetate,4-Aminobenzoate,5-Aminopentanoate,Acetate,Alanine,Benzoate,Butyrate,Desaminotyrosine,Dimethylamine,Ethanol,Formate,Fumarate,Glutamate,Glycine,Glycolate,Histidine,Hypoxanthine,Indole,Isobutyrate,Isoleucine,Isovalerate,Aspartate,Lactate,Leucine,Malonate,Methanol,Methionine,Methylamine,Nicotinate,Phenylacetate,Phenylalanine,Propionate,Propanol,Pyroglutamate,Succinate,Tartrate,Threonine,Thymine,Trimethylamine,Tyrosine,Uracil,Valerate,Valine,p-Cresol,Beta-Alanine
SR_20201209_ex35_p1.cnx,0.2948,0,0.0111,0.0293,0.5649,58.1446,0.3867,0.1569,15.9743,0.0025,0,21.6339,0.1251,0.0014,0.1804,0.0214,0.1793,0.0315,0.0075,0,0.9494,0.1296,0.5063,0.0132,0.035,0.2285,0.1424,1.3077,0.0587,0.0226,0.0076,0.0903,0.079,27.7351,5.1956,0.0148,0.0026,0.0061,0.0441,0.0217,0.8697,0.0882,0.1419,0.8054,0.1237,0,0.0223
SR_20201209_ex36_p1.cnx,0.2854,0,0.0098,0.0291,0.5722,57.9848,0.3835,0.1511,15.4782,0.0029,0,22.2758,0.0909,0,0.1839,0.0232,0.1798,0.0275,0.0063,0,0.9461,0.1127,0.5008,0.023,0.0323,0.2389,0.148,1.3216,0.0539,0.0269,0,0.0883,0.0699,27.7598,5.1163,0.0259,0.0018,0.0068,0,0.0284,0.9187,0.0816,0.2324,0.7731,0.1061,0,0.0122
SR_20201209_ex1033_p1.cnx,0.3285,0,0.0704,0.0293,0.4942,46.2724,0.0538,0.1293,9.8873,0.0026,0,12.4493,0.0302,0.0012,0.0251,0.0196,0.2209,0,0.0068,0.0256,0.9561,0,0.6285,0.0173,0,0,0.0145,1.2014,0.0084,0.0404,0,0.1757,0.0101,21.4977,1.9922,0.0208,0.0015,0.0076,0,0.0081,0.4054,0.0157,0.0251,0.6346,0,0,0
SR_20201217_ex1_p1.cnx,0.2803,0,0.0082,0.0293,0.6352,60.4185,0.0499,0.1035,16.9219,0.0043,0.0349,3.1209,0.0135,0,0.0272,0.0206,0.1371,0,0,0.0437,1.2778,0,0.8001,0,0,0.1049,0.0142,0.1506,0,0.0208,0,0.2667,0.0051,21.5726,2.2915,0.0351,0.0037,0.0308,0,0.0225,0.4571,0.0024,0.0104,0.9951,0,0.0812,0
SR_20201217_ex2_p1.cnx,0.2761,0,0.0055,0.0311,0.6298,59.752,0.0478,0.0998,16.4879,0.0033,0.0366,3.506,0.0203,0,0.0224,0.0203,0.1433,0,0,0.043,1.2258,0,0.7845,0,0,0.1018,0.0167,0.1537,0,0.0234,0,0.2604,0.005,21.3051,2.4516,0.0393,0.003,0.0284,0,0.02,0.4596,0.003,0.0118,1.0361,0,0.0676,0
SR_20201217_ex3_p1.cnx,0.2743,0,0.0043,0.0297,0.615,59.4424,0.0457,0.1035,16.0028,0.0033,0.0288,3.5407,0.0241,0,0.0194,0.0201,0.1368,0,0,0.0478,1.1683,0,0.748,0,0,0.1039,0.0142,0.1479,0,0.0184,0,0.2227,0.0057,21.3392,2.3297,0.0379,0.0015,0.0268,0,0.0209,0.4384,0.0022,0.012,0.9555,0,0.0622,0
SR_20201217_ex4_p1.cnx,0.3625,0,0.0054,0.0325,0.6147,53.5674,0.0434,0.0984,16.631,0.0028,0.0321,1.9168,0.0299,0,0.0143,0.0201,0.1776,0,0,0.0483,1.1693,0,0.8234,0,0,0.1014,0.0101,0.1051,0,0.0269,0,0.254,0.0031,19.8274,1.8785,0.0415,8.00E-04,0.0281,0,0.0079,0.4531,0.002,0.0126,1.0077,0,0.0672,0.0045
SR_20201217_ex5_p1.cnx,0.3353,0,0.0035,0.0293,0.5877,48.2948,0.0452,0.0937,14.7256,0.0021,0.0305,1.9796,0.032,0,0.0158,0.0172,0.1692,0,0,0.0467,1.0443,0,0.7452,0,0,0.0663,0.0112,0.0988,0,0.0247,0,0.2281,0,17.4766,1.7615,0.0377,2.00E-04,0.0286,0,0.0072,0.4253,0.0013,0.0105,0.956,0,0.071,0.0037
SR_20201217_ex6_p1.cnx,0.3424,0,0.0029,0.0335,0.6013,51.0286,0.0448,0.0963,15.1367,0.0035,0.0275,2.18,0.034,0,0.0197,0.0202,0.1736,0,0,0.0477,1.0516,0,0.7429,0,0,0.0912,0.0108,0.0964,0,0.0283,0,0.2501,0,18.5919,1.7715,0.0376,3.00E-04,0.0283,0,0.0096,0.4321,0.0018,0.0121,0.9802,0,0.0668,0.003
SR_20201217_ex8_p1.cnx,0.178,0.016,0.0241,0.0239,0.5859,78.008,0.2165,0.0909,12.1343,0.0032,0.0299,10.3945,0.003,0,0.0332,0.0842,0.0481,0.0124,0.0134,0.0243,0.9396,0.0254,0.6335,0,0.1297,0.144,0.0368,0.2714,0.0149,0.0098,0.0114,0.2053,0.0327,21.1567,3.8803,0.0317,1.645,0.0323,0,0.0227,0.6673,0.0388,0.353,0.8691,0.0405,0.0142,0.0077
